TRRN,Date Of Credit,Amount,Wage Month,No. of Employee,ECR
3172206006022,17-JUN-2022 12:11:32,301863,MAY-22,44,YES
3172207011601,15-JUL-2022 17:56:56,302368,JUN-22,43,YES
3172208016663,18-AUG-2022 01:51:15,304808,JUL-22,47,YES
3172209013555,13-SEP-2022 18:26:15,301501,AUG-22,48,YES
3172210005193,11-OCT-2022 17:22:00,288962,SEP-22,45,YES
3172211008648,17-NOV-2022 05:07:32,288962,OCT-22,45,YES
3172212008633,14-DEC-2022 10:58:16,288962,NOV-22,45,YES
3172301009548,23-JAN-2023 12:26:10,280854,DEC-22,45,YES
3172302005194,16-FEB-2023 12:20:14,253739,JAN-23,41,YES
3172303010726,15-MAR-2023 17:58:31,243504,FEB-23,40,YES
3172305003917,24-JUN-2023 15:44:55,334066,MAR-23,40,YES
3172305020467,24-JUN-2023 15:47:15,333724,APR-23,40,YES
3172306006841,24-JUN-2023 15:48:47,320076,MAY-23,38,YES
3172307014100,19-JUL-2023 12:30:10,320076,JUN-23,38,YES
3172308004384,05-SEP-2023 16:20:23,329337,JUL-23,42,YES
3172309003379,20-SEP-2023 11:50:39,338718,AUG-23,42,YES
3172310013132,16-OCT-2023 11:53:34,401999,SEP-23,46,YES
3172310027437,31-OCT-2023 16:11:56,268228,AUG-23,31,YES
3172311007798,16-NOV-2023 10:50:03,439943,OCT-23,46,YES
3172312007709,14-DEC-2023 12:43:16,339286,NOV-23,45,YES
